,Network,Station,Latitude,Longitude,Distance,Azimuth
166,TA,H18A,44.676899,-109.664101,87.26361,150.97504
167,TA,H19A,44.670399,-108.985703,87.02466,151.47352
168,TA,H20A,44.486801,-107.999001,86.52967,152.19685
169,TA,H21A,44.627701,-107.042297,86.33907,152.91078
170,TA,H22A,44.594299,-106.352097,86.08651,153.42414
171,TA,H23A,44.562,-105.400703,85.75682,154.13511
172,TA,H24A,44.747299,-104.552399,85.66261,154.77906
173,TA,H25A,44.621498,-103.598099,85.26197,155.49565
174,TA,H26A,44.616798,-102.773903,85.01622,156.1207
175,TA,H27A,44.6329,-102.077499,84.83155,156.65151
176,TA,H28A,44.675098,-101.020599,84.57602,157.46112
177,TA,H29A,44.626099,-100.212502,84.31223,158.0798
178,TA,I03D,43.697201,-123.348701,91.94646,141.34245
179,TA,I04A,43.794102,-122.411301,91.60047,141.97295
180,TA,I05D,44.3386,-121.3395,91.55852,142.69347
181,TA,I17A,43.919998,-110.575897,86.92569,150.28931
182,TA,I19A,44.036301,-108.994301,86.47077,151.44962
183,TA,I20A,43.9496,-108.128304,86.0984,152.08482
184,TA,I21A,43.812199,-107.292,85.69613,152.69894
185,TA,I22A,43.892399,-106.484001,85.50188,153.30227
186,TA,I23A,43.960499,-105.462898,85.23545,154.06748
187,TA,I24A,43.859402,-104.626297,84.88257,154.69164
188,TA,I25A,44.0196,-103.732399,84.75484,155.3719
189,TA,I26A,44.030899,-102.859596,84.50578,156.03354
190,TA,I27A,44.069,-102.052498,84.30686,156.64906
191,TA,I28A,43.999599,-101.169197,83.99364,157.321
192,TA,I29A,44.0215,-100.303398,83.7761,157.98604
193,TA,I30A,43.914299,-99.426201,83.44227,158.65718
194,TA,J04D,43.240501,-122.109299,91.02892,142.18455
195,TA,J05D,43.284801,-121.234703,90.67446,142.77661
196,TA,J19A,43.2649,-109.053101,85.81414,151.38116
197,TA,J20A,43.3531,-108.084198,85.55651,152.09668
198,TA,J21A,43.345901,-107.4459,85.33367,152.56789
199,TA,J22A,43.412601,-106.4785,85.07164,153.28834
200,TA,J23A,43.403599,-105.552399,84.76348,153.97887
201,TA,J24A,43.330502,-104.661301,84.41561,154.64387
202,TA,J25A,43.390099,-103.802597,84.20427,155.29318
203,TA,J26A,43.312599,-103.075203,83.914,155.83997
204,TA,J27A,43.252602,-102.006897,83.54446,156.64901
205,TA,J28A,43.423901,-101.235901,83.48148,157.2453
206,TA,J29A,43.406101,-100.325302,83.2118,157.94261
207,TA,J30A,43.324799,-99.492203,82.91101,158.5803
208,TA,K04D,42.624599,-121.753502,90.38199,142.4288
209,TA,K21A,42.633202,-107.250999,84.63526,152.68296
210,TA,K22A,42.6507,-106.524002,84.40661,153.22257
211,TA,K23A,42.754601,-105.625099,84.20418,153.8967
212,TA,K24A,42.7225,-104.815201,83.91527,154.50137
213,TA,K25A,42.612,-103.870499,83.51884,155.20657
214,TA,K26A,42.701599,-103.178299,83.38805,155.73374
215,TA,K27A,42.703602,-102.236397,83.10813,156.4485
216,TA,K28A,42.7136,-101.366501,82.86421,157.11218
217,TA,K29A,42.7612,-100.318199,82.61243,157.91768
218,TA,K30A,42.674198,-99.613098,82.33836,158.45598
219,TA,KMSC,35.141998,-81.333298,71.54033,172.82652
220,TA,KSCO,39.0112,-102.627296,79.85194,155.92695
221,TA,L02D,42.157799,-123.603104,90.86363,141.19515
222,TA,L22A,42.030998,-106.4338,83.82343,153.2605
223,TA,L23A,42.1143,-105.701202,83.65456,153.80961
224,TA,L24A,42.043201,-104.932602,83.34034,154.38035
225,TA,L25A,42.1548,-103.965698,83.13382,155.11216
226,TA,L26A,42.036701,-103.079498,82.752,155.77505
227,TA,L27A,42.083698,-102.315399,82.5638,156.35699
228,TA,L28A,42.007301,-101.5196,82.25853,156.959
229,TA,L29A,42.064098,-100.477898,82.0118,157.75929
230,TA,L30A,41.9492,-99.719597,81.69373,158.33619
231,TA,L31A,42.175999,-98.838699,81.66613,159.02853
232,TA,M02C,41.391998,-122.853798,89.91558,141.69458
233,TA,M04C,41.7826,-121.839302,89.75441,142.37124
234,TA,M22A,41.403301,-106.595802,83.31836,153.1082
235,TA,M23A,41.467999,-105.722099,83.082,153.76056
236,TA,M24A,41.467602,-104.824799,82.78664,154.43057
237,TA,M25A,41.4347,-104.055099,82.50948,155.00634
238,TA,M26A,41.466099,-103.1427,82.25157,155.69615
239,TA,M27A,41.528099,-102.387199,82.07688,156.27213
240,TA,M28A,41.395599,-101.371498,81.65238,157.03805
241,TA,M29A,41.444099,-100.689201,81.49881,157.56285
242,TA,M30A,41.537102,-99.872299,81.3535,158.19569
243,TA,M31A,41.344002,-98.976601,80.92715,158.8758
244,TA,MDND,47.848099,-99.602898,87.15098,158.64039
245,TA,MSTX,33.969601,-102.7724,75.31204,155.35778
246,TA,N02D,40.973999,-122.705002,89.51804,141.79155
247,TA,N20A,40.833801,-108.262604,83.3964,151.8499
248,TA,N22A,40.802299,-106.454399,82.73421,153.17946
249,TA,N23A,40.894699,-105.944,82.64297,153.56341
250,TA,N24A,40.827099,-104.882401,82.22827,154.3508
251,TA,N25A,40.813202,-104.087303,81.95699,154.94603
252,TA,N26A,40.828899,-103.222099,81.69619,155.59885
253,TA,N27A,40.806301,-102.536697,81.46252,156.11626
254,TA,N28A,40.687302,-101.540604,81.05118,156.86655
255,TA,N29A,40.818901,-100.626404,80.90314,157.57384
256,TA,N30A,40.7957,-100.100098,80.73036,157.97655
257,TA,N31A,40.823502,-98.954399,80.43588,158.86201
258,TA,N32A,40.763901,-98.295502,80.20165,159.36909
259,TA,O20A,40.1348,-108.2416,82.77306,151.82496
260,TA,O22A,40.1618,-106.546997,82.19529,153.07239
261,TA,O23A,40.210899,-105.917801,82.02229,153.5416
262,TA,O24A,40.1227,-105.072899,81.65745,154.1649
263,TA,O25A,40.1129,-104.120102,81.33385,154.87752
264,TA,O26A,40.242199,-103.312798,81.19115,155.49361
265,TA,O27A,40.189999,-102.479401,80.88167,156.12075
266,TA,O28A,40.126202,-101.773499,80.60624,156.6531
267,TA,O29A,40.125301,-100.797699,80.31295,157.3984
268,TA,O30A,40.1791,-100.057098,80.14683,157.97047
269,TA,O31A,40.1521,-99.326103,79.91391,158.53219
270,TA,O32A,40.261002,-98.276398,79.72619,159.3524
271,TA,P22A,39.5952,-106.758904,81.76517,152.87942
272,TA,P23A,39.3741,-105.838799,81.24658,153.5451
273,TA,P24A,39.5144,-104.908203,81.05492,154.24739
